(193,41)
(207,258)
(164,214)
(194,19)
(134,112)
(276,3)
(56,89)
(234,266)
(98,102)
(73,82)
(89,22)
(177,158)
(186,300)
(106,11)
(146,28)
(266,172)
(155,96)
(83,251)
(259,242)
(168,210)
(285,283)
(165,202)
(294,170)
(176,144)
(254,267)
(146,126)
(88,185)
(124,55)
(51,35)
(139,174)
(216,22)
(286,226)
(47,292)
(135,12)
(143,20)
(53,46)
(300,268)
(79,124)
(221,156)
(4,188)
(283,110)
(56,178)
(68,277)
(57,29)
(150,43)
(256,188)
(163,238)
(16,276)
(176,137)
(224,282)
(192,168)
(200,263)
(59,96)
(162,184)
(43,78)
(181,149)
(286,62)
(1,235)
(296,269)
(94,167)
(81,21)
(127,175)
(49,111)
(257,166)
(247,260)
(186,130)
(16,245)
(99,82)
(223,28)
(259,242)
(217,248)
(264,246)
(18,250)
(136,145)
(178,276)
(133,143)
(139,148)
(51,107)
(2,300)
(153,183)
(242,213)
(76,53)
(257,74)
(223,121)
(241,164)
(118,17)
(172,202)
(101,23)
(184,179)
(103,276)
(198,13)
(3,5)
(15,145)
(116,281)
(53,299)
(173,212)
(248,92)
(57,297)
(165,247)
(123,239)
